DOUBLE DRAGON,0.04306969459671105
PLAIN BLUE BANNER,0.055897149245388494
GOLDWEAVER,0.10021097046413503
SUPREME PROFIT,0.04953809077520418
THE ONLY KID,0.09966777408637874
WINNING ADVANTAGE,0.03333333333333333
CARE FREE ELEGANCE,0.0125
COOL PAL,0.07044864664441973
TAI PO FORTUNE,0.026533996683250415
SUPER HORSE,0.01646090534979424
AMAZING GIFT,0.07342143906020558
LITTLE WIND,0.013793103448275862
EVERSPRING,0.03651856360316494
TRUMP,0.029588817467605343
MULTIVICTORY,0.04527960153950645
HELENE SUPER STAR,0.02589686952547795
DEEP THINKER,0.021555947481873408
LITTLE MEN,0.03012048192771084
SMART MAN,0.040233353450010056
ROYAL PARTNER,0.026012138998199166
SICHUAN EXEC,0.039797395079594795
JOLLY VICTOR,0.02399520095980804
SICHUAN VIGOUR,0.030314513073133757
AUTUMN GOLD,0.05633321952884944
PENGLAI XIANZI,0.02568383202773854
FLYING ELITE,0.011858879335902756
FREE JUDGEMENT,0.016877637130801686
JUST MISTERE,0.020754064337599444
MASSIVE,0.13850415512465372
SHANGHAI PIONEER,0.03115264797507788
POSITIVE ENERGY,0.06111535523300229
KING ON EARTH,0.049212598425196846
JUST GOOD,0.034782608695652174
MONEY CAFE,0.13008130081300814
FLYING KEEPER,0.043290043290043295
SUPER TEAM,0.023148148148148147
CALIFORNIA ROCK,0.05740528128587831
JOYFUL LUCK,0.030612244897959186
SPARKLING SWORD,0.050818746470920384
ALLEY-OOP,0.015283842794759825
AMERICAN FAME,0.017391304347826087
GOLDEN HARVEST,0.021312872975277068
SMART VOLATILITY,0.07001166861143523
PENIAPHOBIA,0.14354066985645936
LORD SINCLAIR,0.03261755911932591
CHARLES THE GREAT,0.03729146221786065
BEST ELEVEN,0.020467836257309944
TOUR DE FORCE,0.03248259860788863
HELENE SPIRIT,0.0625
BULLISH FRIEND,0.03317720530835285
DIVINE TEN,0.5
EL ZONDA,0.011811023622047244
ROMANTIC CASH,0.11568123393316193
HIT THE BID,0.048163756773028296
EXCITABLE BOY,0.06190476190476191
COLLAGEN,0.0707070707070707
WINNING BOY,0.04631947921882824
FOREVER AHEAD,0.04777070063694267
LUCKY DAY,0.04708577246118605
HEARTLAND,0.0373931623931624
OPTIMISM,0.04219965712778583
SILVER DRAGON,0.047332185886402756
ELEGANT FRAMES,0.03453379378391712
ABLE WARRIOR,0.09562841530054644
WIN CHANCE,0.02976458915847389
GOLDEN GUNNERS,0.04398240703718513
SENSATION,0.04695837780149413
MELLIFLUENT,0.054531290573876914
HAYHAY,0.033804548248309765
INCREDIBLE FELLOW,0.05
VICTORY GENERAL,0.0449438202247191
FLASHING GUY,0.03894080996884735
ORIENTAL PROSPER,0.042347247428917115
GALLANT ROCK,0.04970708325936446
REAL FIT,0.03253182461103253
OCEAN ROAR,0.027506532801540362
HIGHLAND DRAGON,0.03958044725905403
SIR JOHN,0.030046435400163895
EXAGGERATION,0.01282051282051282
DARK CORE,0.03262233375156838
JAZZY FEELING,0.022318660880347178
SMART BALL,0.1440922190201729
GOOD CHOICE,0.045819014891179836
PRINCIPAL,0.01937643121366919
KING OF REASON,0.03941857600394186
OVETT,0.02836074872376631
SUPREME FLIGHT,0.038769707934866886
WHY NOT,0.043644298963447896
AMBASSADORSHIP,0.025746050321825628
STARTING OVER,0.053787539220080685
BEST TANGO,0.03981660231660231
MEGA CHAMPION,0.04791238877481178
TURBO JEWELLERY,0.02770814091568808
HIDDEN VALUE,0.196078431372549
GRAND HARBOUR,0.050048828125
VARA PEARL,0.05269320843091335
HIT A HOME RUN,0.03335804299481096
DEMOKLES,0.07551240560949299
BEAUTY JOURNEY,0.05122950819672132
GLOBAL FAME,0.026239067055393583
CULTURAL CITY,0.06662628709872803
MARK TWO,0.10733452593917711
LIBERAL OF MIND,0.017467248908296942
FULL OF FUN,0.01639344262295082
WATCH KING,0.012376237623762377
GOOD THINKER,0.04091910607491344
HAPPY ROCKY,0.03054989816700611
SUPREME FALCON,0.05523731587561374
UNIVERSAL UNION,0.05877167205406993
CALLING WITH LOVE,0.22123893805309736
SEASONS STAR,0.04350736278447122
ALL GREAT FRIENDS,0.052828902522154074
LITTLE DRAGON,0.046573519627411845
FASHION MAESTRO,0.034808552958727
IMPERIAL FIGHTER,0.014457831325301203
G-ONE LEADER,0.046700507614213196
EN CIVIL,0.04008746355685132
PEARL WIN,0.03415967206714815
SPARKLING B,0.013824884792626729
BUNDLE OF JOY,0.03996003996003996
LONDON CHINA TOWN,0.07407407407407407
CHARITY JOY,0.040392383150605886
MY LITTLE FRIEND,0.04207060545088714
CALIFORNIA BOUNTY,0.0318945354029343
BEAR HERO,0.022670025188916875
SPEEDYGONZALEZ,0.013059844818314511
GURUS DREAM,0.01933197293523789
EXCITING DREAM,0.04900868790376475
CRACKERJACK,0.010101010101010102
ATACX,0.024793388429752063
MY NAME IS BOND,0.017449238578680203
BUNDLE OF LOVE,0.028169014084507043
ENSEMBLE,0.024390243902439025
FIERY PATROL,0.03389830508474576
SHANTARAAM,0.0397456279809221
CROATIA,0.030998140111593308
CRUISE CONTROL,0.06923289947382999
ALL MY BENEFIT,0.09783368273934309
EASY AHEAD,0.04034291477559254
HEAR THE ROAR,0.038781959207124385
COMMANDANT,0.047210300429184546
EAGLE KING,0.03038743985819195
VIVA GUY,0.03064215294431122
PALEPALE,0.0246669955599408
HAPPY GOAL,0.11479591836734693
SLEDGE HAMMER,0.044268406337371856
FRESH AIR,0.07155635062611806
MISTER MARC,0.04010868158882132
