Spanish Primera Division,Leganes,Atletico Madrid,0.2069,0.5211
Barclays Premier League,West Bromwich Albion,Middlesbrough,0.4596,0.2571
French Ligue 1,Bordeaux,Nantes,0.4838,0.2199
German Bundesliga,Hertha Berlin,SC Freiburg,0.457,0.2727
Barclays Premier League,Manchester City,West Ham United,0.7687,0.078
French Ligue 1,St Etienne,Toulouse,0.5067,0.21
German Bundesliga,TSG Hoffenheim,RB Leipzig,0.4601,0.2819
Italy Serie A,Internazionale,Palermo,0.6377,0.1336
Spanish Primera Division,Las Palmas,Granada,0.4862,0.2479
Spanish Primera Division,Alavés,Sporting Gijón,0.4022,0.3114
Spanish Primera Division,Athletic Bilbao,Barcelona,0.1075,0.7445
Italy Serie A,Udinese,Empoli,0.4002,0.3067
French Ligue 1,AS Monaco,Paris Saint-Germain,0.1511,0.6473
Italy Serie A,Sampdoria,Atalanta,0.4405,0.2796
Italy Serie A,Fiorentina,Chievo Verona,0.6188,0.1278
Italy Serie A,Cagliari,AS Roma,0.2203,0.5294
Italy Serie A,Torino,Bologna,0.5327,0.1848
Italy Serie A,Sassuolo,US Pescara,0.509,0.23
Italy Serie A,Crotone,Genoa,0.3385,0.3681
Spanish Primera Division,Villarreal,Sevilla FC,0.4368,0.304
German Bundesliga,Schalke 04,Bayern Munich,0.1536,0.6431
French Ligue 1,Paris Saint-Germain,St Etienne,0.7657,0.0771
Spanish Primera Division,Real Sociedad,Espanyol,0.5073,0.2328
Spanish Primera Division,Celta Vigo,Atletico Madrid,0.2343,0.4835
Barclays Premier League,Manchester United,Manchester City,0.3845,0.3543
German Bundesliga,Bayer Leverkusen,Hamburg SV,0.7262,0.0896
German Bundesliga,SC Freiburg,Borussia Monchengladbach,0.3613,0.3814
German Bundesliga,SV Darmstadt 98,Eintracht Frankfurt,0.4028,0.3219
German Bundesliga,VfL Wolfsburg,FC Cologne,0.5586,0.1917
German Bundesliga,FC Ingolstadt 04,Hertha Berlin,0.368,0.3351
Barclays Premier League,West Ham United,Watford,0.5151,0.2355
Barclays Premier League,Arsenal,Southampton,0.6503,0.1334
Spanish Primera Division,Real Madrid,Osasuna,0.9278,0.0132
Barclays Premier League,Burnley,Hull City,0.4633,0.2357
Barclays Premier League,AFC Bournemouth,West Bromwich Albion,0.4607,0.2658
Barclays Premier League,Stoke City,Tottenham Hotspur,0.2932,0.4274
Barclays Premier League,Middlesbrough,Crystal Palace,0.492,0.2184
French Ligue 1,Lyon,Bordeaux,0.5688,0.1864
Italy Serie A,Juventus,Sassuolo,0.7988,0.04
Spanish Primera Division,Málaga,Villarreal,0.3966,0.3068
Spanish Primera Division,Sevilla FC,Las Palmas,0.6148,0.1745
Barclays Premier League,Liverpool,Leicester City,0.6145,0.1637
German Bundesliga,RB Leipzig,Borussia Dortmund,0.2173,0.5479
French Ligue 1,Lille,AS Monaco,0.3917,0.3113
French Ligue 1,Lorient,AS Nancy Lorraine,0.3964,0.3048
French Ligue 1,Angers,Dijon FCO,0.4245,0.2694
French Ligue 1,Bastia,Toulouse,0.3937,0.2893
French Ligue 1,Guingamp,Montpellier,0.4659,0.2449
Spanish Primera Division,Barcelona,Alavés,0.9657,0.0059
Italy Serie A,Palermo,Napoli,0.2283,0.5137
Spanish Primera Division,Sporting Gijón,Leganes,0.468,0.2406
Italy Serie A,Bologna,Cagliari,0.3885,0.3105
Italy Serie A,AS Roma,Sampdoria,0.7379,0.0823
Italy Serie A,AC Milan,Udinese,0.6238,0.1456
Italy Serie A,Chievo Verona,Lazio,0.3217,0.3678
Italy Serie A,Atalanta,Torino,0.3308,0.3955
French Ligue 1,Nantes,Metz,0.4578,0.2328
German Bundesliga,Werder Bremen,FC Augsburg,0.4403,0.3002
Spanish Primera Division,Valencia,Real Betis,0.535,0.2239
Barclays Premier League,Swansea City,Chelsea,0.171,0.6033
French Ligue 1,Stade Rennes,Caen,0.445,0.2603
German Bundesliga,Mainz,TSG Hoffenheim,0.5249,0.2324
Spanish Primera Division,Granada,Eibar,0.4421,0.2698
Spanish Primera Division,Deportivo La Coruña,Athletic Bilbao,0.3683,0.3433
Italy Serie A,US Pescara,Internazionale,0.3043,0.4335
French Ligue 1,Nice,Marseille,0.4119,0.2777
Italy Serie A,Empoli,Crotone,0.5505,0.1714
Barclays Premier League,Sunderland,Everton,0.3385,0.3838
UEFA Champions League,PSV,Atletico Madrid,0.2004,0.5349
UEFA Champions League,Bayern Munich,Rostov,0.9179,0.0155
UEFA Champions League,Dynamo Kiev,Napoli,0.3504,0.3697
UEFA Champions League,Paris Saint-Germain,Arsenal,0.4587,0.285
UEFA Champions League,Basel,Ludogorets,0.3468,0.3606
UEFA Champions League,Barcelona,Celtic,0.8787,0.0398
UEFA Champions League,Benfica,Besiktas,0.6938,0.1159
UEFA Champions League,Real Madrid,Sporting CP,0.7595,0.0836
UEFA Champions League,Juventus,Sevilla FC,0.6447,0.1335
UEFA Champions League,Club Brugge,Leicester City,0.2386,0.5011
UEFA Champions League,Legia Warsaw,Borussia Dortmund,0.1308,0.6709
UEFA Champions League,Bayer Leverkusen,CSKA Moscow,0.6903,0.0976
UEFA Champions League,FC Porto,FC Copenhagen,0.6866,0.0901
UEFA Champions League,Tottenham Hotspur,AS Monaco,0.5607,0.1875
UEFA Champions League,Lyon,Dinamo Zagreb,0.5914,0.1645
UEFA Champions League,Manchester City,Borussia Monchengladbach,0.6953,0.116
German Bundesliga,FC Cologne,SC Freiburg,0.4362,0.2875
Italy Serie A,Sampdoria,AC Milan,0.3303,0.3854
Spanish Primera Division,Real Betis,Granada,0.5792,0.1819
French Ligue 1,Caen,Paris Saint-Germain,0.0852,0.7589
Barclays Premier League,Chelsea,Liverpool,0.508,0.2532
Spanish Primera Division,Leganes,Barcelona,0.0833,0.7867
German Bundesliga,Eintracht Frankfurt,Bayer Leverkusen,0.2969,0.4426
German Bundesliga,TSG Hoffenheim,VfL Wolfsburg,0.3431,0.4119
German Bundesliga,Bayern Munich,FC Ingolstadt 04,0.9293,0.0127
German Bundesliga,Borussia Dortmund,SV Darmstadt 98,0.8799,0.0227
German Bundesliga,Hamburg SV,RB Leipzig,0.3882,0.3311
Barclays Premier League,Leicester City,Burnley,0.5477,0.19
Barclays Premier League,Hull City,Arsenal,0.1705,0.5894
Barclays Premier League,West Bromwich Albion,West Ham United,0.4235,0.3021
Barclays Premier League,Manchester City,AFC Bournemouth,0.8085,0.06
Spanish Primera Division,Atletico Madrid,Sporting Gijón,0.7578,0.0518
French Ligue 1,AS Monaco,Stade Rennes,0.6116,0.1395
Italy Serie A,Lazio,US Pescara,0.5794,0.1814
Spanish Primera Division,Eibar,Sevilla FC,0.3021,0.4333
Barclays Premier League,Everton,Middlesbrough,0.5906,0.1605
German Bundesliga,Borussia Monchengladbach,Werder Bremen,0.591,0.1894
French Ligue 1,Toulouse,Guingamp,0.4495,0.2519
French Ligue 1,Bordeaux,Angers,0.5295,0.1911
French Ligue 1,AS Nancy Lorraine,Nantes,0.4668,0.222
French Ligue 1,Lorient,Lille,0.3203,0.3833
French Ligue 1,Dijon FCO,Metz,0.4319,0.2801
Spanish Primera Division,Las Palmas,Málaga,0.4373,0.2963
Italy Serie A,Napoli,Bologna,0.7714,0.0588
Spanish Primera Division,Osasuna,Celta Vigo,0.4168,0.3053
Italy Serie A,Udinese,Chievo Verona,0.4261,0.2634
Barclays Premier League,Watford,Manchester United,0.2007,0.5667
Italy Serie A,Crotone,Palermo,0.373,0.3222
Italy Serie A,Cagliari,Atalanta,0.4488,0.2765
Italy Serie A,Torino,Empoli,0.5419,0.193
Italy Serie A,Sassuolo,Genoa,0.4017,0.3182
French Ligue 1,Montpellier,Nice,0.4657,0.2387
Barclays Premier League,Southampton,Swansea City,0.5339,0.2071
Barclays Premier League,Crystal Palace,Stoke City,0.4505,0.2622
German Bundesliga,FC Augsburg,Mainz,0.4291,0.2999
Spanish Primera Division,Athletic Bilbao,Valencia,0.4731,0.2618
French Ligue 1,St Etienne,Bastia,0.5328,0.1801
Barclays Premier League,Tottenham Hotspur,Sunderland,0.656,0.1278
German Bundesliga,Hertha Berlin,Schalke 04,0.4791,0.2443
Italy Serie A,Internazionale,Juventus,0.2486,0.4689
Spanish Primera Division,Villarreal,Real Sociedad,0.5095,0.208
Spanish Primera Division,Espanyol,Real Madrid,0.1446,0.6889
Italy Serie A,Fiorentina,AS Roma,0.351,0.3814
French Ligue 1,Marseille,Lyon,0.3702,0.3502
Spanish Primera Division,Alavés,Deportivo La Coruña,0.444,0.27
French Ligue 1,Lille,Toulouse,0.4686,0.2327
German Bundesliga,SC Freiburg,Hamburg SV,0.5745,0.192
German Bundesliga,SV Darmstadt 98,TSG Hoffenheim,0.3653,0.3758
Spanish Primera Division,Málaga,Eibar,0.5244,0.2007
German Bundesliga,FC Ingolstadt 04,Eintracht Frankfurt,0.4217,0.2982
German Bundesliga,VfL Wolfsburg,Borussia Dortmund,0.2541,0.5032
Italy Serie A,AC Milan,Lazio,0.4322,0.2851
French Ligue 1,Paris Saint-Germain,Dijon FCO,0.8514,0.042
Spanish Primera Division,Sevilla FC,Real Betis,0.5763,0.1987
Italy Serie A,Bologna,Sampdoria,0.4106,0.2846
French Ligue 1,Guingamp,Lorient,0.5334,0.1921
French Ligue 1,Lyon,Montpellier,0.5737,0.1721
French Ligue 1,Nice,AS Monaco,0.2846,0.428
French Ligue 1,Metz,Bordeaux,0.4186,0.2895
French Ligue 1,Nantes,St Etienne,0.3508,0.3273
French Ligue 1,Angers,Caen,0.4601,0.2403
French Ligue 1,Bastia,AS Nancy Lorraine,0.4288,0.2599
Spanish Primera Division,Real Madrid,Villarreal,0.7775,0.0744
German Bundesliga,Bayer Leverkusen,FC Augsburg,0.6801,0.1174
German Bundesliga,RB Leipzig,Borussia Monchengladbach,0.4052,0.3275
German Bundesliga,Schalke 04,FC Cologne,0.4355,0.2783
German Bundesliga,Bayern Munich,Hertha Berlin,0.8704,0.0246
Spanish Primera Division,Celta Vigo,Sporting Gijón,0.4844,0.2407
German Bundesliga,Werder Bremen,Mainz,0.3629,0.3877
Italy Serie A,AS Roma,Crotone,0.8208,0.0422
Italy Serie A,Udinese,Fiorentina,0.2709,0.4515
Italy Serie A,Atalanta,Palermo,0.4684,0.2476
Italy Serie A,Empoli,Internazionale,0.2897,0.4206
Italy Serie A,Juventus,Cagliari,0.8095,0.0391
Italy Serie A,Genoa,Napoli,0.2326,0.5181
Italy Serie A,Chievo Verona,Sassuolo,0.4145,0.2771
Italy Serie A,US Pescara,Torino,0.3509,0.3788
French Ligue 1,Stade Rennes,Marseille,0.4017,0.2875
Spanish Primera Division,Granada,Athletic Bilbao,0.3173,0.3983
Spanish Primera Division,Barcelona,Atletico Madrid,0.6809,0.1235
Spanish Primera Division,Real Sociedad,Las Palmas,0.515,0.2267
Spanish Primera Division,Osasuna,Espanyol,0.4094,0.3073
Spanish Primera Division,Deportivo La Coruña,Leganes,0.4499,0.2585
Spanish Primera Division,Valencia,Alavés,0.5795,0.1811
German Bundesliga,Borussia Dortmund,SC Freiburg,0.8654,0.0331
Spanish Primera Division,Real Betis,Málaga,0.4775,0.2584
French Ligue 1,Toulouse,Paris Saint-Germain,0.0903,0.7452
Spanish Primera Division,Eibar,Real Sociedad,0.3583,0.3526
Barclays Premier League,Manchester United,Leicester City,0.6165,0.1536
German Bundesliga,FC Augsburg,SV Darmstadt 98,0.5155,0.2138
German Bundesliga,Hamburg SV,Bayern Munich,0.1315,0.6866
German Bundesliga,Mainz,Bayer Leverkusen,0.3474,0.3906
German Bundesliga,Borussia Monchengladbach,FC Ingolstadt 04,0.5962,0.167
German Bundesliga,Eintracht Frankfurt,Hertha Berlin,0.4149,0.2915
Barclays Premier League,Stoke City,West Bromwich Albion,0.4198,0.2998
Barclays Premier League,Sunderland,Crystal Palace,0.4314,0.2844
Barclays Premier League,AFC Bournemouth,Everton,0.306,0.425
Barclays Premier League,Swansea City,Manchester City,0.0688,0.7915
Barclays Premier League,Middlesbrough,Tottenham Hotspur,0.2622,0.4619
Barclays Premier League,Liverpool,Hull City,0.7404,0.0832
Spanish Primera Division,Sporting Gijón,Barcelona,0.081,0.7933
French Ligue 1,Lorient,Lyon,0.2309,0.5076
Italy Serie A,Palermo,Juventus,0.145,0.6061
Barclays Premier League,Arsenal,Chelsea,0.4983,0.2563
Spanish Primera Division,Athletic Bilbao,Sevilla FC,0.4316,0.2946
German Bundesliga,Werder Bremen,VfL Wolfsburg,0.2913,0.4673
French Ligue 1,AS Monaco,Angers,0.6129,0.1358
French Ligue 1,Montpellier,Metz,0.465,0.2423
French Ligue 1,Bastia,Guingamp,0.4051,0.2808
French Ligue 1,Dijon FCO,Stade Rennes,0.4381,0.2626
French Ligue 1,Bordeaux,Caen,0.5498,0.1895
Spanish Primera Division,Las Palmas,Real Madrid,0.1296,0.7125
Italy Serie A,Napoli,Chievo Verona,0.7024,0.0842
Spanish Primera Division,Leganes,Valencia,0.3967,0.3353
Italy Serie A,Torino,AS Roma,0.2931,0.4406
Italy Serie A,Lazio,Empoli,0.584,0.1537
Italy Serie A,Genoa,US Pescara,0.5047,0.2335
Italy Serie A,Sassuolo,Udinese,0.5312,0.2061
Italy Serie A,Internazionale,Bologna,0.687,0.0973
French Ligue 1,St Etienne,Lille,0.481,0.2231
German Bundesliga,TSG Hoffenheim,Schalke 04,0.4344,0.3144
Spanish Primera Division,Atletico Madrid,Deportivo La Coruña,0.7938,0.0417
Barclays Premier League,West Ham United,Southampton,0.39,0.3417
French Ligue 1,AS Nancy Lorraine,Nice,0.3929,0.302
German Bundesliga,FC Cologne,RB Leipzig,0.4581,0.256
Spanish Primera Division,Villarreal,Osasuna,0.6416,0.1187
Spanish Primera Division,Espanyol,Celta Vigo,0.4304,0.296
Italy Serie A,Fiorentina,AC Milan,0.4498,0.2669
